"[191, 125, 5, 6, -6]","[191, 157, 7, 6, -6]","[191, 157, 7, 6, -6]"
"[191, 143, 6, 6, -6]","[191, 125, 5, 6, -6]","[191, 157, 7, 6, -6]"
"[190, 142, 6, 6, -6]","[191, 143, 6, 6, -6]","[191, 125, 5, 6, -6]"
"[190, 142, 6, 6, -7]","[190, 142, 6, 6, -6]","[191, 143, 6, 6, -6]"
"[190, 142, 6, 4.5, -7]","[190, 142, 6, 6, -7]","[190, 142, 6, 6, -6]"
"[190, 147, 7, 4.5, -7]","[190, 142, 6, 4.5, -7]","[190, 142, 6, 6, -7]"
"[190, 147, 5, 4.5, -7]","[190, 147, 7, 4.5, -7]","[190, 142, 6, 4.5, -7]"
"[190, 156, 7, 4.5, -7]","[190, 147, 5, 4.5, -7]","[190, 147, 7, 4.5, -7]"
"[190, 152, 7, 4.5, -7]","[190, 156, 7, 4.5, -7]","[190, 147, 5, 4.5, -7]"
"[190, 152, 7, 4.5, -7]","[190, 152, 7, 4.5, -7]","[190, 156, 7, 4.5, -7]"
"[190, 152, 7, 4.5, -7]","[190, 152, 7, 4.5, -7]","[190, 152, 7, 4.5, -7]"
"[190, 152, 9, 4.5, -7]","[190, 152, 7, 4.5, -7]","[190, 152, 7, 4.5, -7]"
"[190, 152, 9, 6, -7]","[190, 152, 9, 4.5, -7]","[190, 152, 7, 4.5, -7]"
"[190, 152, 9, 4.5, -7]","[190, 152, 9, 6, -7]","[190, 152, 9, 4.5, -7]"
"[190, 152, 10, 4.5, -7]","[190, 152, 9, 4.5, -7]","[190, 152, 9, 6, -7]"
"[190, 129, 11, 4.5, -7]","[190, 152, 10, 4.5, -7]","[190, 152, 9, 4.5, -7]"
"[190, 142, 11, 4.5, -7]","[190, 129, 11, 4.5, -7]","[190, 152, 10, 4.5, -7]"
